NSPIS Agency,NSPIS,Model 1 Detail,Latitude,Longitude,NSPIS Street Address,Place,Postcode,Opening hours
Adam Remboulis Pharmacy,1004,Pharmacy,-37.659646,144.441548,"Shop 5, Darley Plaza, Gisborne Road",BACCHUS MARSH,3340,Business Hours
Advantage Pharmacy - Ararat,1123,Pharmacy,-37.283879,142.929287,119 Barkly Street,ARARAT,3377,Business Hours
Advantage Pharmacy - Bairnsdale,1586,Pharmacy,-37.824781,147.629475,46 Nicholson Street,BAIRNSDALE,3875,M-F 8:30am-6pm; Sat 9am-2pm; Sun 10am-1pm
Advantage Pharmacy - Pakenham (Lakeside),1486,Pharmacy,-38.063635,145.455229,"Davies & Moller, Shop 9 Village Lakeside, 19-27 Lakeside Boulevard",PAKENHAM,3810,M-F 9am-7pm; Sat 9am-2pm
Advantage Pharmacy - Parkhill,1573,Pharmacy,-38.014916,145.323404,"Shop 2, 215-225 Parkhill Drive",BERWICK,3806,M-F 8am-8pm; Sat/Sun/public holidays 9am-5pm
Advantage Pharmacy - Warragul,1570,Pharmacy,-38.162136,145.930335,27 Victoria Street,WARRAGUL,3820,M-Th 8.30am-6pm; Fri 8.30am-7pm; Sat 8.30am-1pm
AHS Farmacologica Compounding Pharmacy,1490,Pharmacy,-37.753855,144.964631,54-56 Sydney Road,COBURG,3058,M-F 9am-7pm; Sat 9am-2pm
Aims Pharmacy,1749,Pharmacy,-37.698174,144.93484,107 Justin Avenue,GLENROY,3046,Mon-Fri 9am - 7pm; Sat 9am - 1pm; Sun 9am - 6pm
Aireys Inlet Medical Centre,1007,Fixed Site,-38.459005,144.106491,37 Great Ocean Road,AIREYS INLET,3231,"M 9am-4pm, Tu 9am-12noon, W 9am-4pm, Th 12noon-4pm, F 1pm-4pm"
Alexandra District Health - Hospital,1008,Fixed Site,-37.194284,145.715296,24 Cooper Street,ALEXANDRA,3714,"24 hours, 7 days a week"
Alfred Health - Caulfield CHS,1049,Fixed Site,-37.884402,145.015475,260 Kooyong Road,CAULFIELD,3162,"9:00 am - 4.30 pm, Monday to Friday."
