Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Avonlea Hostel,68-72 Macpherson Street,,NHILL,VIC,3418,Grampians,Residential,45,,,Avonlea Inc,Community Based,Outer Regional Australia,-36.335116,141.655153," $976,677 "
Mercy Place Northcliffe,10-12 Northcliffe Road,,EDITHVALE,VIC,3196,Southern Metro,Residential,60,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-38.04237294,145.1130356," $2,457,797 "
Mercy Place Corben,9-15 Brindisi Street,,MENTONE,VIC,3194,Southern Metro,Residential,46,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.98393195,145.0621723," $3,237,644 "
Margery Cole Residential Care Service,Matthews Crescent,,TRARALGON,VIC,3844,Gippsland,Residential,120,,,"""Yallambee"" Traralgon Village for the Aged Inc",Community Based,Inner Regional Australia,-38.195604,146.549021," $8,097,629 "
Manor Court Werribee Aged Care Ltd,5 Hogan Grove,,WERRIBEE,VIC,3030,Western Metro,Residential,100,,,Manor Court Werribee Aged Care Ltd,Community Based,Major Cities of Australia,-37.89658739,144.6569542," $5,274,309 "
Woorayl Lodge Hostel,71-73 McCartin Street,,LEONGATHA,VIC,3953,Gippsland,Residential,40,,,Woorayl Lodge Inc,Community Based,Inner Regional Australia,-38.47934705,145.9421297," $2,204,855 "
Dorothy Impey Home,317A O'Hea Street,,PASCOE VALE,VIC,3044,Northern Metro,Residential,95,,,Coburg Home for the Aged Inc,Community Based,Major Cities of Australia,-37.734724,144.937294," $4,853,360 "
Mercy Place Colac,83-99 Queen Street,,COLAC,VIC,3250,Barwon-South Western,Residential,109,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-38.34374761,143.5919192," $7,138,757 "
Eva Tilley Memorial Hostel,1100 Burke Road,,BALWYN NORTH,VIC,3104,Eastern Metro,Residential,120,,,Eva Tilley Memorial Home Inc,Community Based,Major Cities of Australia,-37.79134319,145.0643694," $5,429,436 "
Sunnyside House,1 Adeney Street,,CAMPERDOWN,VIC,3260,Barwon-South Western,Residential,40,,,Sunnyside House Inc,Community Based,Inner Regional Australia,-38.2374651,143.1534879," $2,176,283 "
Rose Lodge,225-233 Graham Street,,WONTHAGGI,VIC,3995,Gippsland,Residential,98,,,Wonthaggi & District Elderly Citizens Homes Inc,Community Based,Inner Regional Australia,-38.60712585,145.5827037," $6,489,456 "
Carinya Lodge Hostel,1 Carinya Crescent,,KORUMBURRA,VIC,3950,Gippsland,Residential,42,,,Carinya Lodge Homes Inc,Community Based,Inner Regional Australia,-38.43774549,145.8114715," $2,419,863 "
BlueCross Ivanhoe,250-260 Waterdale Road,,IVANHOE,VIC,3079,Northern Metro,Residential,180,,,Third Age Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.75825079,145.0445244," $10,793,702 "
Village Baxter - Lodge,8 Robinsons Road,,FRANKSTON SOUTH,VIC,3199,Southern Metro,Residential,60,,,Baptist Village Baxter Ltd,Religious,Major Cities of Australia,-38.17495539,145.1444955," $4,465,925 "
mecwacare Noel Miller Centre,9-15 Kent Street,,GLEN IRIS,VIC,3146,Southern Metro,Residential,138,,,MECWA,Community Based,Major Cities of Australia,-37.856046,145.0470514," $8,627,373 "
Montefiore Homes Community Residence,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Residential,110,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $7,415,566 "
Nazareth House Camberwell,16 Cornell Street,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,100,,,Nazareth Care,Religious,Major Cities of Australia,-37.83939361,145.0888082," $6,260,886 "
Ashleigh House Hostel,20-24 Bergen Crescent,,SALE,VIC,3850,Gippsland,Residential,75,,,Sale Elderly Citizens Village Inc,Community Based,Inner Regional Australia,-38.1052253,147.0852761," $4,185,503 "
Alcheringa,2-14 Boree Drive,,SWAN HILL,VIC,3585,Loddon-Mallee,Residential,74,,,Respect Group Limited,Charitable,Outer Regional Australia,-35.33670714,143.5332906," $4,748,226 "
Benetas Broughton Hall,2 Berwick Street,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,65,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.824297,145.060194," $4,332,959 "
Rosstown Community,6 Ames Avenue,,MURRUMBEENA,VIC,3163,Southern Metro,Residential,53,,,City of Glen Eira,Local Government,Major Cities of Australia,-37.889888,145.062346," $2,138,422 "
Cohuna Village,38 Augustine Street,,COHUNA,VIC,3568,Loddon-Mallee,Residential,45,,,Respect Group Limited,Charitable,Outer Regional Australia,-35.80014999,144.2153502," $2,562,027 "
Benetas Gladswood Lodge,15 Waxman Parade,,BRUNSWICK WEST,VIC,3055,Northern Metro,Residential,51,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.758684,144.934543," $3,190,676 "
