OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,OPEN,CLOSE,CLOSED FOR LUNCH,,
Service Centre - Centrelink/Medicare,Yarra,,617-619 Victoria Street,Abbotsford,VIC,3067,-37.81087,145.00854,,,,,
Service Centre - Centrelink/Medicare,Airport West,,"Shop 79, Westfield Shoppingtown, 29-35 Louis Street",Airport West,VIC,3042,-37.71393,144.88732,,,,,
Service Centre - Centrelink/Medicare,Townsville Jobseekers,,307 Ross River Road,Aitkenvale,QLD,4814,-19.29713,146.76441,,,,,
Service Centre - Centrelink/Medicare,Albany,,15 Peels Place,Albany,WA,6330,-35.02591,117.88466,,,,,
Service Centre - Centrelink/Medicare,Albury,,430 Wilson Street,Albury,NSW,2640,-36.07727,146.9237,,,,,
Service Centre - Centrelink/Medicare,Alice Springs,,5 Railway Terrace,Alice Springs,NT,870,-23.6959,133.88036,,,,,
Service Centre - Centrelink,Tangentyere,,4 Elder Street,Alice Springs,NT,870,-23.69924,133.87184,,,,,
Remote Service Centre,Groote Eylandt,,Lot 403A Angurugu,Angurugu,NT,822,-13.982317,136.460575,,,,,
Service Centre - Centrelink/Medicare,Ararat,,45-47 King Street,Ararat,VIC,3377,-37.28326,142.93661,,,,,
Service Centre - Centrelink/Medicare,Armadale (WA),,40-42 William Street,Armadale,WA,6112,-32.15567,116.01372,,,,,
Service Centre - Centrelink/Medicare,Armidale (NSW),,91 Beardy Street,Armidale,NSW,2350,-30.51436,151.67084,,,,,
Service Centre - Centrelink/Medicare,Atherton,,3 Cook Street,Atherton,QLD,4883,-17.26322,145.47927,,,,,
Service Centre - Centrelink,Auburn,,5-9 Macquarie Road,Auburn,NSW,2144,-33.84777,151.03332,,,,,
Service Centre - Centrelink/Medicare,Ayr,,100 MacMillan Street,Ayr,QLD,4807,-19.57682,147.4066,,,,,
Service Centre - Centrelink/Medicare,Bairnsdale,,60-62 MacLeod Street,Bairnsdale,VIC,3875,-37.82674,147.63355,,,,,
Service Centre - Centrelink/Medicare,Ballarat,,4-12 Albert Street,Ballarat,VIC,3350,-37.56333,143.85849,,,,,
Service Centre - Centrelink/Medicare,Ballina,,117-121 Tamar Street,Ballina,NSW,2478,-28.86713,153.55671,,,,,
Remote Service Centre,Northern Peninsula Area,,7 Adidi Street,Bamaga,QLD,4876,-10.88778,142.38827,,,,,
Service Centre - Centrelink/Medicare,Bankstown,,2-14 Meredith Street,Bankstown,NSW,2200,-33.9172,151.03111,,,,,
Service Centre - Centrelink/Medicare,Batemans Bay,,3 Flora Crescent,Batemans Bay,NSW,2536,-35.70976,150.17865,,,,,
Service Centre - Centrelink/Medicare,Bathurst,,166-168 Russell Street,Bathurst,NSW,2795,-33.41674,149.57715,,,,,
Remote Service Centre,Tiwi Islands,,"Rural Transaction Centre, Lot 397 Kerinauia Highway",Bathurst Island,NT,822,-11.75823,130.63428,,,,,
Service Centre - Centrelink,Beaudesert,,33 William Street,Beaudesert,QLD,4285,-27.99026,152.99889,,,,,
Service Centre - Centrelink/Medicare,Beenleigh,,Stockyard Lane,Beenleigh,QLD,4207,-27.71957,153.20658,,,,,
Service Centre - Centrelink/Medicare,Bega,,49-61 Church Street,Bega,NSW,2550,-36.6737,149.8417,,,,,
Service Centre - Centrelink/Medicare,Belconnen,,"Level 1, Northpoint Plaza, 8 Chandler Street",Belconnen,ACT,2617,-35.23784,149.06879,,,,,
Service Centre - Centrelink,Belgrave,,1657-1661 Burwood Highway,Belgrave,VIC,3160,-37.909056,145.35402,,,,,
Service Centre - Centrelink,Benalla,,22 Church St,Benalla,VIC,3672,-36.54965,145.98325,,,,,
Service Centre - Centrelink/Medicare,Bendigo,,231-245 Lyttleton Terrace,Bendigo,VIC,3550,-36.7595,144.28262,,,,,
Service Centre - Centrelink/Medicare,Berri,,5 Riverview Drive,Berri,SA,5343,-34.28789,140.60191,,,,,
Service Centre - Centrelink,Biggera Waters,,97-99 Brisbane Road,Biggera Waters,QLD,4216,-27.9353,153.3959,,,,,
Service Centre - Centrelink,Biloela,,49 Grevillea Street,Biloela,QLD,4715,-24.40099,150.51371,,,,,
Service Centre - Centrelink/Medicare,Blacktown,,8 First Avenue (ground floor),Blacktown,NSW,2148,-33.76838,150.9111,,,,,
Service Centre - Centrelink/Medicare,Bondi Junction,,19-23 Hollywood Avenue,Bondi Junction,NSW,2022,-33.89365,151.25128,,,,,
