Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,,
139 Club Limited,139 Club Inc,<a href='http://www.139club.com.au'>http://www.139club.com.au</a>,"Lot 5, 505 Brunswick Street FORTITUDE VALLEY QLD 4006 ",FORTITUDE VALLEY,4006,Financial Crisis and Material Aid - Emergency Relief,New Farm,Brisbane Inner,Brisbane Inner City,Brisbane (C),Brisbane,-27.4614198,153.0381955,N,,
Aboriginal Family Support Services Inc,AFSS Coober Pedy,<a href='http://www.afss.com.au'>http://www.afss.com.au</a>,Lot 223 Aylett Street COOBER PEDY SA 5723,COOBER PEDY,5723,Financial Crisis and Material Aid - Emergency Relief,Coober Pedy,Outback - North and East,South Australia - Outback,Coober Pedy (DC),Grey,-29.0092512,134.7570196,N,,
Acacia Ridge Community Support Incorporated,Acacia Ridge Community Centre,<a href='http://www.arcsi.org.au'>http://www.arcsi.org.au</a>,21 Hanify St ACACIA RIDGE QLD 4110,ACACIA RIDGE,4110,Financial Crisis and Material Aid - Emergency Relief,Rocklea - Acacia Ridge,Rocklea - Acacia Ridge,Brisbane - South,Brisbane (C),Moreton,-27.5794776,153.0197921,N,,
ADRA Adventist Development and Relief Agency,ADRA Emergency Relief Ferntree Gully,<a href='http://www.adra.org.au'>http://www.adra.org.au</a>,3 Railway Avenue UPPER FERNTREE GULLY VIC 3156,UPPER FERNTREE GULLY,3156,Financial Crisis and Material Aid - Emergency Relief,Ferntree Gully,Knox,Melbourne - Outer East,Knox (C),La Trobe,-37.8916598,145.307473,N,,
ADRA Adventist Development and Relief Agency,ADRA Emergency Relief Eight Mile Plains,<a href='http://www.adra.org.au'>http://www.adra.org.au</a>,"Lot 1, 15 London Street EIGHT MILE PLAINS QLD 4113 ",EIGHT MILE PLAINS,4113,Financial Crisis and Material Aid - Emergency Relief,Eight Mile Plains,Mt Gravatt,Brisbane - South,Brisbane (C),Moreton,-27.5737169,153.0918177,N,,
ADRA Adventist Development and Relief Agency,ADRA Community Centre Logan Central,<a href='http://www.adra.org.au'>http://www.adra.org.au</a>,"Lot 41, 31 Station Road LOGAN CENTRAL QLD 4114 ",LOGAN CENTRAL,4114,Financial Crisis and Material Aid - Emergency Relief,Logan Central,Springwood - Kingston,Logan - Beaudesert,Logan (C),Rankin,-27.6380271,153.1049903,N,,
ADRA Adventist Development and Relief Agency,ADRA Emergency Relief Adelaide City,<a href='http://www.adra.org.au'>http://www.adra.org.au</a>,82 Angas St Adelaide SA 5000,Adelaide,5000,Financial Crisis and Material Aid - Emergency Relief,Adelaide,Adelaide City,Adelaide - Central and Hills,Adelaide (C),Adelaide,-34.9295035,138.6038768,N,,
ADRA Adventist Development and Relief Agency,ADRA Emergency Relief Melrose Park,<a href='http://www.adra.org.au'>http://www.adra.org.au</a>,123 Edward st Melrose Park SA 5039,Melrose Park,5039,Financial Crisis and Material Aid - Emergency Relief,Colonel Light Gardens,Mitcham,Adelaide - South,Mitcham (C),Boothby,-34.9781648,138.5794351,N,,
ADRA Adventist Development and Relief Agency,ADRA Community Centre Parafield,<a href='http://www.adra.org.au'>http://www.adra.org.au</a>,1A-2D Lawrence Hargrave Way PARAFIELD SA 5106,PARAFIELD,5106,Financial Crisis and Material Aid - Emergency Relief,Parafield,Salisbury,Adelaide - North,Salisbury (C),Makin,-34.7920149,138.6433678,N,,
ADRA Adventist Development and Relief Agency,ADRA Emergency Relief Morphett Vale,<a href='http://www.adra.org.au'>http://www.adra.org.au</a>,130 Pimpala Rd Morphett Vale SA 5162,Morphett Vale,5162,Financial Crisis and Material Aid - Emergency Relief,Morphett Vale - East,Onkaparinga,Adelaide - South,Onkaparinga (C),Kingston,-35.1048463,138.5428462,N,,
